Timestamp,province,dayrate
4/6/2015 19:48:00,Gauteng,175
4/6/2015 19:48:00,Gauteng,200
4/6/2015 19:48:00,Western Cape,0
4/6/2015 19:48:00,Gauteng,320
4/6/2015 19:48:01,Gauteng,288
4/6/2015 19:48:02,Gauteng,3400
4/6/2015 19:48:02,Free State,150
4/6/2015 19:48:03,Western Cape,200
4/6/2015 19:48:05,Western Cape,130
4/6/2015 19:48:05,Gauteng,170
4/6/2015 19:48:08,Western Cape,150
4/6/2015 19:48:09,Western Cape,4000
4/6/2015 19:48:10,Western Cape,200
4/6/2015 19:48:10,KwaZulu-Natal,100
4/6/2015 19:48:10,Gauteng,200
4/6/2015 19:48:11,Western Cape,150
4/6/2015 19:48:11,Gauteng,120
4/6/2015 19:48:13,Western Cape,150
4/6/2015 19:48:13,Free State,150
4/6/2015 19:48:14,Gauteng,1500
4/6/2015 19:48:14,Western Cape,200
4/6/2015 19:48:19,Gauteng,150
4/6/2015 19:48:25,Gauteng,4000
4/6/2015 19:48:28,Northern Cape,0.5
4/6/2015 19:48:30,KwaZulu-Natal,170
4/6/2015 19:48:30,Gauteng,200
4/6/2015 19:48:31,Eastern Cape,150
4/6/2015 19:48:32,Gauteng,205
4/6/2015 19:48:32,KwaZulu-Natal,100
4/6/2015 19:48:33,Gauteng,150
4/6/2015 19:48:34,Gauteng,250
4/6/2015 19:48:37,Gauteng,200
4/6/2015 19:48:38,Western Cape,200
4/6/2015 19:48:41,Gauteng,145
4/6/2015 19:48:42,Gauteng,160
4/6/2015 19:48:42,Gauteng,170
4/6/2015 19:48:43,Gauteng,100
4/6/2015 19:48:45,Eastern Cape,170
4/6/2015 19:48:49,Gauteng,200
4/6/2015 19:48:49,Eastern Cape,120
4/6/2015 19:48:50,Gauteng,1
4/6/2015 19:48:55,Gauteng,250
4/6/2015 19:48:57,Mpumalanga,89
4/6/2015 19:48:58,Gauteng,80
4/6/2015 19:48:59,KwaZulu-Natal,170
4/6/2015 19:49:04,Limpopo,80
4/6/2015 19:49:13,Gauteng,150
4/6/2015 19:49:13,Gauteng,280
4/6/2015 19:49:14,KwaZulu-Natal,220
4/6/2015 19:49:14,Gauteng,15
4/6/2015 19:49:15,Gauteng,150
4/6/2015 19:49:20,Gauteng,200
4/6/2015 19:49:26,Western Cape,130
4/6/2015 19:49:26,Limpopo,15
4/6/2015 19:49:33,Gauteng,460
4/6/2015 19:49:34,Gauteng,100
4/6/2015 19:49:34,Western Cape,120
4/6/2015 19:49:41,KwaZulu-Natal,260
4/6/2015 19:49:41,Gauteng,150
4/6/2015 19:49:47,Mpumalanga,180
4/6/2015 19:49:47,Western Cape,200
4/6/2015 19:49:52,Gauteng,230
4/6/2015 19:49:53,Gauteng,2500
4/6/2015 19:49:53,Gauteng,140
4/6/2015 19:49:54,Eastern Cape,140
4/6/2015 19:49:55,Western Cape,150
4/6/2015 19:49:58,Gauteng,250
4/6/2015 19:49:59,Gauteng,150
4/6/2015 19:50:01,Gauteng,171
4/6/2015 19:50:01,Gauteng,150
4/6/2015 19:50:03,Gauteng,170
4/6/2015 19:50:03,Gauteng,150
4/6/2015 19:50:05,Free State,100
4/6/2015 19:50:06,Western Cape,180
4/6/2015 19:50:10,Gauteng,250
4/6/2015 19:50:13,Gauteng,180
4/6/2015 19:50:16,Gauteng,160
4/6/2015 19:50:19,Gauteng,165
4/6/2015 19:50:20,Western Cape,2400
4/6/2015 19:50:20,Gauteng,200
4/6/2015 19:50:21,KwaZulu-Natal,115
4/6/2015 19:50:21,Western Cape,150
4/6/2015 19:50:23,Gauteng,160
4/6/2015 19:50:26,Gauteng,120
4/6/2015 19:50:29,Gauteng,30
4/6/2015 19:50:31,Gauteng,200
4/6/2015 19:50:31,KwaZulu-Natal,112
4/6/2015 19:50:34,Gauteng,254
4/6/2015 19:50:34,Gauteng,150
4/6/2015 19:50:34,Gauteng,200
4/6/2015 19:50:34,Gauteng,250
4/6/2015 19:50:36,KwaZulu-Natal,150
4/6/2015 19:50:39,Mpumalanga,150
4/6/2015 19:50:40,Western Cape,170
4/6/2015 19:50:40,Gauteng,142
4/6/2015 19:50:40,Free State,120
4/6/2015 19:50:40,Gauteng,150
4/6/2015 19:50:40,Gauteng,75
4/6/2015 19:50:41,Western Cape,170
4/6/2015 19:50:42,Gauteng,120
4/6/2015 19:50:45,Gauteng,165
4/6/2015 19:50:49,Western Cape,175
4/6/2015 19:50:49,Western Cape,200
4/6/2015 19:50:50,Western Cape,200
4/6/2015 19:50:52,KwaZulu-Natal,150
4/6/2015 19:50:54,Mpumalanga,150
4/6/2015 19:50:54,KwaZulu-Natal,130
4/6/2015 19:50:55,Northern Cape,127
4/6/2015 19:50:56,Gauteng,50
4/6/2015 19:50:56,Gauteng,26
4/6/2015 19:50:57,Gauteng,200
4/6/2015 19:50:59,Gauteng,150
4/6/2015 19:51:00,Gauteng,171
4/6/2015 19:51:01,Western Cape,200
4/6/2015 19:51:02,KwaZulu-Natal,1700
4/6/2015 19:51:04,Gauteng,220
4/6/2015 19:51:05,Gauteng,150
4/6/2015 19:51:05,Gauteng,3500
4/6/2015 19:51:06,KwaZulu-Natal,180
4/6/2015 19:51:06,Gauteng,1500
4/6/2015 19:51:06,Western Cape,150
4/6/2015 19:51:09,Gauteng,135
4/6/2015 19:51:10,Gauteng,100
4/6/2015 19:51:10,Eastern Cape,156
4/6/2015 19:51:10,Western Cape,100
